Age Range,Zip Code,City,Gender,Donors,Non-Donors,ID Card Donors,ID Card Non-Donors,Driver License Donors,Driver License Non-Donors,ID Card/Driver License Donors,ID Card/Driver License Non-Donors
71+,19810,WILM,M,0,1,0,1,0,1,0,0
71+,19805,WILMDE,F,0,1,0,1,0,1,0,0
56-60,19973,BLADES,M,1,1,0,2,1,1,0,0
71+,19804,WILMINGTON 5,M,0,1,0,1,0,1,0,0
18-20,19808,MARSHALLTON,M,1,1,0,2,1,1,0,0
45-50,19904,DOVER DE,F,1,0,0,1,1,0,0,0
31-35,19805,WILMINGTON DE,F,0,2,0,2,0,2,0,0
41-45,19720,NEW CASTLE DE,M,0,1,0,1,0,1,0,0
66-70,19808,WILMINGTON DE,M,0,1,0,1,0,1,0,0
61-65,19709,MIDDLETOWN,F,1,0,0,1,1,0,0,0
71+,19810,WILMINGOTN,F,0,1,0,1,0,1,0,0
51-55,19971,REHOBOTH,M,7,3,0,10,7,3,0,0
71+,19968,MILTON DE,F,1,0,0,1,1,0,0,0
56-60,19702,NEWARK DELAWARE,F,0,1,0,1,0,1,0,0
36-40,19971,REHOBOTH,F,2,0,0,2,2,0,0,0
26-30,19808,MARSHALLTON,F,1,1,0,2,1,1,0,0
56-60,19736,YORKLYNN,M,0,1,0,1,0,1,0,0
18-20,19903,DOVER,F,0,1,0,1,0,1,0,0
45-50,19735,WINTERTHUR,M,1,0,0,1,1,0,0,0
51-55,19808,MARSHALLTON,M,1,1,0,2,1,1,0,0
41-45,19971,REHOBETH BEACH,M,1,0,0,1,1,0,0,0
51-55,19970,MILLVILLE,F,0,1,0,1,0,1,0,0
66-70,19807,CENTERVILLE,F,0,1,0,1,0,1,0,0
51-55,19708,KIRKWOOD,F,0,1,0,1,0,1,0,0
26-30,19801,WIMINGTON,F,1,0,0,1,1,0,0,0
71+,19707,HOCKESSINN,M,0,1,0,1,0,1,0,0
31-35,19969,NASSAU,M,0,1,0,1,0,1,0,1
66-70,19944,FENWICK ISLE,F,0,1,0,1,0,1,0,0
71+,19713,NEWARK DE,M,1,0,0,1,1,0,0,0
31-35,19707,WILMINGTON,M,1,0,0,1,1,0,0,0
71+,19966,LONG NECK,F,0,1,0,1,0,1,0,0
66-70,19980,WOODSIDE,M,4,2,0,6,4,2,0,0
61-65,19808,WILMLINGTON,M,0,1,0,1,0,1,0,0
56-60,19720,WILMINGTON DELA,F,0,1,0,1,0,1,0,0
71+,19708,KIRKWOOD,F,0,3,0,3,0,3,0,0
56-60,19970,OCEANVIEW,F,0,1,0,1,0,1,0,0
66-70,19973,BLADES,M,0,1,0,1,0,1,0,0
71+,19805,EILMINGTON,M,1,0,0,1,1,0,0,0
56-60,19805,WILMINGTON DEL,F,1,0,1,0,0,1,0,0
56-60,19940,DELMAR  DE,M,0,1,0,1,0,1,0,0
61-65,19899,WILMINGTON,F,2,0,0,2,2,0,0,0
66-70,19930,SOUTH BETHANY B,F,1,0,0,1,1,0,0,0
56-60,19703,CLAYMONT DE,M,0,1,0,1,0,1,0,0
71+,19808,WILMINGTON DELA,F,0,1,0,1,0,1,0,0
71+,19810,ARDEN,M,0,1,0,1,0,1,0,0
